ID	LABEL	OLD_VALUES	OLD_FIELDS	Parents	subset	cob_parent	obo_exact_match	xref_ontology	xref_literature_doi	nico_comment	definition	applicable_to	additional_information	abbreviation	has_exact_synonym	has_related_synonym	has_narrow_synonym	has_broad_synonym	xref_synonym	github_issue_link	contributors	contributor_orcid	Decision_OT_Team	Ontology_OT_remarks	Ontology_person	Decision_OT_Team	New_definition_file_link
TOSO:0000027	Obligate parthenogenesis			Parthenogenesis	Reproductive quality	characteristic																					
TOSO:0000028	Gynogenesis			Asexual system	Reproductive quality	characteristic																					
TOSO:0000029	Hermaphrodite	hermaphrodite	Sexual system_value		has quality	cellular organism			10.1038/sdata.2014.15		A quality where both male and female sex organs are present in a biological entity 	part;individual;population;species				hermaphroditism				https://github.com/Tree-of-Sex/ToS-Ontology/issues/37;https://github.com/Tree-of-Sex/ToS-Ontology/issues/41	Chiara; lukas		ToS_new_definition	Cibele: hermaphrodite has a condition but hermaphroditism is the condition - how is the bestway to describe this in an ontology?               Alternative definition provided by Lukas in https://github.com/Tree-of-Sex/ToS-Ontology/issues/99: "a condition in which an individual organism possesses both male and female reproductive organs or tissues, allowing for the development of both male and female gametes (eggs and sperm)."			
TOSO:0000030	Hermaphrodite individual			Hermaphrodite	has quality	cellular organism			10.1038/sdata.2014.15		Individual that contains both male and female sex organs.	individual	issue https://github.com/Tree-of-Sex/ToS-Ontology/issues/41 brings alternative definition: A multicellular sexually reproducing organism that can produce both viable male and female gametes during its lifetime.							https://github.com/Tree-of-Sex/ToS-Ontology/issues/37;https://github.com/Tree-of-Sex/ToS-Ontology/issues/41			ToS_new_definition				
TOSO:0000031	Hermaphrodite flower			Hermaphrodite	has_quality	plant anatomical entity			10.1038/sdata.2014.15		Flower that contains both male and female sex organs	part								https://github.com/Tree-of-Sex/ToS-Ontology/issues/37;https://github.com/Tree-of-Sex/ToS-Ontology/issues/41			ToS_new_definition				
TOSO:0000032	Gynomonoecious indivudual			Hermaphrodite	has_quality	cellular organism			10.1038/sdata.2014.15		A hermaphrodite (individual) with both female (part) flowers and hermpahrodite (part) flowers on the same plant										Nicole;Caitlin						
TOSO:0000033																											
TOSO:0000034	Gonochorous	gonochorous	Sexual system_value		has_quality	cellular organism														https://github.com/Tree-of-Sex/ToS-Ontology/issues/37;https://github.com/Tree-of-Sex/ToS-Ontology/issues/41							
TOSO:0000035	Parthenogenetic	parthenogenetic	Sexual system_value		has_quality	cellular organism														https://github.com/Tree-of-Sex/ToS-Ontology/issues/41							
TOSO:0000036	Sex determination																										
TOSO:0000037	Genotypic sex determination		Genotypic	Sex determination				GSSO:000108		had to remove the (GSD) in brackets. If you want it, add it everywhere (in parents AND label columns)				GSD										Edina: I just added the link for the purpose of the ToS2 workshop	Lukáš Kratochvíl;Edina	use-main_term	
TOSO:0000038	Male heterogametic sex determination	male heterogametic	Genotypic_value	Genotypic sex determination																					Lukáš Kratochvíl		
TOSO:0000039	Female heterogametic sex determination	female heterogametic	Genotypic_value	Genotypic sex determination																					Lukáš Kratochvíl		
TOSO:0000040	Polygenic	polygenic	Genotypic_value	Genotypic sex determination				GENO:0000932																Edina: maybe call it "polygenic sex determination" instead?; I just added the link for the purpose of the ToS2 workshop, but I think the definition is not specific enough.	Edina	use-synonym	
TOSO:0000041	Haplodiploidy		Haplodiploidy	Genotypic sex determination				GSSO:000121																Edina: I just added the link for the purpose of the ToS2 workshop	Edina	use-main_term	
TOSO:0000042	Arrhenotoky	arrhenotoky	Haplodiploidy_value	Haplodiploidy																							
TOSO:0000043	Paternal genome elimination	paternal genome elimination	Haplodiploidy_value	Haplodiploidy																							
TOSO:0000044	Environmental sex determination		Environmental sex determination (ESD)	Sex determination								Only in vertebrates		ESD											Nicole Valenzuela	create_ToS_definition	environmental_sex_determination_OOT
TOSO:0000045	Temperature-dependent sex determination	TSD	Environmental_value	Environmental sex determination								Only in vertebrates		TSD											Nicole Valenzuela		TSD_OOT
TOSO:0000046	Temperature-dependent sex determination (TSD Ia; MF)	TSD Ia	Environmental_value	Temperature-dependent sex determination								Only in vertebrates												Edina: No definition in OLS.	Edina	create_ToS_definition	FM_TSD_Ia_OOT
TOSO:0000047	Temperature-dependent sex determination (TSD Ib; FM)	,TSD Ib	Environmental_value	Temperature-dependent sex determination								Only in vertebrates												Edina: No definition in OLS.	Edina	create_ToS_definition	MF_TSD_Ib_OOT
TOSO:0000048	Temperature-dependent sex determination (TSD II; MFM)	,TSD II	Environmental_value	Temperature-dependent sex determination								Only in vertebrates												Edina: No definition in OLS.	Edina	create_ToS_definition	FMF_TSD_II_OOT
TOSO:0000049	Complex temperature-dependent sex determination			Temperature-dependent sex determination											Complex TSD												
TOSO:0000050	Size-dependent sex determination	size	Environmental_value	Environmental sex determination				NCIT:C25681|NCIT:C45781				Only in vertebrates												Astrid: I assume that the values Column C could be extended?  Column K refers to Column C	Astrid Böhne	use-main_term	
TOSO:0000051	Density-dependent sex determination	density		Environmental sex determination																							
TOSO:0000052	PH-dependent sex determination	pH	Environmental_value	Environmental sex determination				NCIT:C45997				Only in vertebrates												Astrid: Couldnt this be listed as a value under the same category above? For the Ontology, I can of course find one that defines pH but is this what you are looking for?  Column K refers to Column C	Astrid Böhne	use-main_term	
TOSO:0000053	Polyfactorial sex determination	yes,no	Polyfactorial	Sex determination				null				Only in vertebrates												Astrid: should not only be applicable to vertebrates, I hence chose "needs conflict solving" but not sure this is what you meant, also I am unsure what to select in column J, this would also need a new ontology definition for the term polyfactorial	Astrid Böhne	needs-conflict-solving	
TOSO:0000054	Molecular type of sex determination		Molecular basis of sex determination									Only in vertebrates and plants															
TOSO:0000055	Dosage	dosage	Molecular basis of sex determination_value	Molecular type of sex determination								Only in vertebrates and plants															
TOSO:0000056	Y dominant	Y dominant	Molecular basis of sex determination_value	Molecular type of sex determination								Only in vertebrates and plants															
TOSO:0000057	W dominant	W dominant	Molecular basis of sex determination_value	Molecular type of sex determination								Only in vertebrates and plants															
TOSO:0000058	Hybrid		Hybrid									Only for plants															
TOSO:0000059	Selfing ability		Selfing									Only for plants															
TOSO:0000060	Self incompatible	self incompatible	Selfing_value	Selfing ability								Only for plants															
TOSO:0000061	Self compatible	self compatible	Selfing_value	Selfing ability								Only for plants															
TOSO:0000062	Growth Form											Only for plants															
TOSO:0000063	Herb	herb	Growth Form_value	Growth Form								Only for plants															
TOSO:0000064	Shrub	shrub	Growth Form_value	Growth Form								Only for plants															
TOSO:0000065	Tree	tree	Growth Form_value	Growth Form								Only for plants															
